,Title,Author,Editor,AutGen,EdGen,AutM,AutF,EdM,EdF,Type,Importance,Year,Publisher,Convener,Rank,Cluster,Level,Weighted,Senior,Female,single.female,single.male,Single,Top,Top.Press,two,three,female.comale,female.cofemale,Self,male.comale,male.cofemale,Male,book,article
4446,International Organization,"Meunier, Sophie",,F,,0,1,0,0,Article,Background,2000,,NA,NA,NA,Undergrad,1,NA,1,1,0,1,1,0,0,0,0,0,FALSE,0,0,0,0,1
4447,Perspectives on Work,"Stiglitz, Joseph",,M,,1,0,0,0,Article,Background,2000,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4448,International Negotiation,"Duchesne, Erick; Clark, W.R.; Meunier, Sophie",,MMF,,2,1,0,0,Article,Background,2000,International Negotiation,NA,NA,NA,Undergrad,0.333,NA,1,0,0,0,0,0,0,1,1,0,FALSE,0,1,0,0,1
4449,Journal of European Public Policy,"Elgstroem, Ole; Joensson, Christer",,MM,,2,0,0,0,Article,Background,2000,,NA,NA,NA,Undergrad,0,NA,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4450,American Economic Review,"Helpman, Elhanan; Grossman, Gene M.",,MM,,2,0,0,0,Article,Essential,NA,,NA,NA,NA,Undergrad,0,NA,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4451,OECD Trade Policy Studies,"Dihel, Nora",,F,,0,1,0,0,Article,Background,NA,,NA,NA,NA,Undergrad,1,NA,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
4452,International Organization,"Pelc, Krzysztof J.",,M,,1,0,0,0,Article,Background,2011,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4454,The new economic diplomacy: decision-making and negotiation in international economic relations,"Heydon, Kenneth","Bayne, Nicholas; Woolcock, Stephen",M,MM,1,0,2,0,Book,Essential,2011,Ashgate,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4455,International Journal of the Economics of Business,"Dunning, John H.",,M,,1,0,0,0,Article,Background,2001,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4456,European Review of Agricultural Economics,"Otsuki, Tsunehiro Wilson, John S.; Sewadeh, Mirvat",,MMF,,2,1,0,0,Article,Background,2001,European Review of Agricultural Economics ,NA,NA,NA,Undergrad,0.333,NA,1,0,0,0,0,0,0,1,1,0,FALSE,0,1,0,0,1
4457,"The economic theory of patents, copyrights, and registered industrial designs: background study to the Report on intellectual and industrial property","Hindley, Brian V.",,M,,1,0,0,0,Book,Background,1971,Economic Council of Canada,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4458,"Invention, growth and welfare: a theoretical treatment of technological change","Nordhaus, William D.",,M,,1,0,0,0,Book,Background,1969,The MIT Press,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4459,Handbook of international economics: Vol.3: edited by Gene M.Grossmann and Kenneth Rogoff,"Rodrik, Dani","Grossman, Gene M.; Rogoff, Kenneth S.",M,MM,1,0,2,0,Book,Essential,1995,Elsevier,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4462,"Arrow, K. (1962). _„ñEconomic welfare and the allocation of resources for invention_„ù","Arrow, Kenneth",,M,,1,0,0,0,Book,Background,1962,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4464,Welfare- and trade-based indicators of national distortions to agricultural incentives,"Croser, J.L.; Lloyd, P.J.; Anderson, K.",,FMM,,2,1,0,0,Article,Background,2009,World Bank,NA,NA,NA,Undergrad,0.333,NA,1,0,0,0,0,0,0,1,1,0,FALSE,0,1,0,0,1
4465,Economic policy: principles and design,"Tinbergen, Jan",,M,,1,0,0,0,Book,Background,1956,North Holland Pub. Co,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4466,Protectionism,"Bhagwati, Jagdish N.",,M,,1,0,0,0,Book,Essential,1988,The MIT Press,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4468,World Economy,"Baldwin, Robert E.",,M,,1,0,0,0,Article,Background,2006,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4470,Why are the Critics so Convinced that Globalization is Bad for the Poor?,"Aisbett, Emma","Harrison, Ann",F,F,0,1,0,1,Book,Background,2007,Chicago University Press,NA,NA,NA,Undergrad,1,NA,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0
4471,Journal of International Economic Law,"Charnovitz, Steve",,M,,1,0,0,0,Article,Essential,2007,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4472,Global trade and poor nations: the poverty impacts and policy implications of liberalization,"Hoekman, Bernard M.; Olarreaga, M.",,MM,,2,0,0,0,Book,Background,2007,Brookings Institution Press,NA,NA,NA,Undergrad,0,NA,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
4473,Journal of International Trade and Economic Development,"Gourdon, Julien",,M,,1,0,0,0,Article,Background,2007,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4474,Journal of Common Market Studies,"Damro, Chad",,M,,1,0,0,0,Article,Background,2007,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4475,Studies in the theory of international trade,"Viner, Jacob",,M,,1,0,0,0,Book,Background,1937,HarperCollins,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4476,Journal of European Public Policy,"Baldwin, Matthew",,M,,1,0,0,0,Article,Background,2006,Routledge,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
4477,Journal of Common Market Studies,"Elsig, Manfred",,M,,1,0,0,0,Article,Background,2007,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4478,Journal of European Public Policy,"Falkner, Robert",,M,,1,0,0,0,Article,Background,2007,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4481,Review of International Political Economy,"Chorev, Nitsan",,F,,0,1,0,0,Article,Background,2007,,NA,NA,NA,Undergrad,1,NA,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
4482,The political economy of the world trading system: the WTO and beyond,"Hoekman, Bernard M.; Kostecki, M. M.",,MM,,2,0,0,0,Book,Essential,2009,Oxford University Press,NA,NA,NA,Undergrad,0,NA,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
4483,Measurement of nontariff barriers,"Deardorff, Alan V.; Stern, Robert M.",,MM,,2,0,0,0,Book,Background,1999,University of Michigan Press,NA,NA,NA,Undergrad,0,NA,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
4484,American Trade Politics 4th edition,"Destler, I. M.",,M,,1,0,0,0,Book,Background,NA,,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4485,The MAI affair: a story and its lessons,"Henderson, David",,M,,1,0,0,0,Book,Essential,1999,Royal Institute of International Affairs,NA,NA,NA,Undergrad,0,NA,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4487,Review of International Studies,"Aspinwall, Mark",,M,,1,0,0,0,Article,Background,2003,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4488,Financial regulation in the global economy,"Herring, Richard; Litan, Robert E.",,MM,,2,0,0,0,Book,Background,1995,Brookings Institution Press,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
4489,International Organization,"Stone, Randall W.",,M,,1,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4490,Global financial regulation: the essential guide,"Davies, H.; Green, David",,MM,,2,0,0,0,Book,Background,2008,Polity,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
4491,International Studies Quarterly,"Chwieroth, Jeffrey M.",,M,,1,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4493,International Finance,"Chinn, Menzie; Frankel, Jeffrey",,MM,,2,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4494,The Political Quarterly,"Thompson, Helen",,F,,0,1,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
4495,"The anatomy of an international monetary regime: the classical gold standard, 1880-1914","Gallarotti, Giulio M.",,M,,1,0,0,0,Book,Background,1995,Oxford University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4498,Third World Quarterly,"Helleiner, Eric",,M,,1,0,0,0,Article,Background,2005,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4499,Historical Perspective on Global Imbalances,"Bordo, Michael D.",,M,,1,0,0,0,Article,Background,2005,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4500,Macroeconomics,"Dornbusch, Rudiger; Fischer, Stanley; Startz, Richard",,MMM,,3,0,0,0,Book,Essential,1998,McGraw-Hill,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
4501,Journal of Economic Surveys,"Breuer, Janice Boucher",,F,,0,1,0,0,Article,Background,2004,,M,Professor,IPE,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
4502,"The political economy of emerging markets: actors, institutions and financial crises in Latin America","Santiso, Javier",,M,,1,0,0,0,Book,Background,2003,Palgrave Macmillan,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4503,Review of International Political Economy,"Lombardi, Domenico",,M,,1,0,0,0,Article,Background,2008,Taylor & Francis Ltd.,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4505,Review of Development Economics,"McKinnon, Ronald; Schnabl, Gunther",,MMM,,3,0,0,0,Article,Background,2004,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4506,International Studies Quarterly,"Bearce, David H.",,M,,1,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4507,Governing finance: East Asia's adoption of international standards,"Walter, Andrew",,M,,1,0,0,0,Book,Background,2008,Cornell University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4508,Global Policy,"Helleiner, Eric",,M,,1,0,0,0,Article,Background,2010,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4509,World Economy,"Edwards, Sebastian",,M,,1,0,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4510,Review of International Political Economy,"Chang, Michele; Leblond, Patrick",,FM,,1,1,0,0,Article,Background,2015,,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,0,1
4511,Perspectives on Politics,"Gilens, Martin; Page, Benjamin I.",,MM,,2,0,0,0,Article,Background,2014,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4512,International Organization,"Hall, Peter A.; Franzese, Robert J.",,MM,,2,0,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
4514,New Republic,"Boone, Peter; Johnson, Simon",,MM,,2,0,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4515,Euros and Europeans: monetary integration and the European model of society,"Martin, Andrew; Ross, George",,MM,,2,0,0,0,Book,Background,2004,Cambridge University Press,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
4516,Cambridge Journal of Economics,"Palma, J. G.",,M,,1,0,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4517,IMF Staff Papers,"Broz, J. Lawrence; Frieden, Jeffry A.; Weymouth, Stephen",,MMM,,3,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4518,Review of International Studies,"Underhill, Geoffrey R.D.",,M,,1,0,0,0,Article,Background,1995,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4519,International Affairs,"Baker, Andrew",,M,,1,0,0,0,Article,Essential,2010,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4521,Review of International Political Economy,"Jabko, Nicolas; Massoc, Elsa",,MF,,1,1,0,0,Article,Background,2012,,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,0,1
4522,International Interactions,"Mosley, Layna; Singer, David Andrew",,FM,,1,1,0,0,Article,Essential,2009,,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,0,1
4523,International Organization,"Henning, C. Randall",,M,,1,0,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4525,Review of International Political Economy,"Bowles, Paul; Wang, Baotai",,MM,,2,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4526,The first global financial crisis of the 21st century: Part 1 August 2007-May 2008,"Felton, Andrew; Reinhart, Carmen M.",,MF,,1,1,0,0,Book,Background,2008,Centre for Economic Policy Research,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,1,0
4527,The politics of global regulation,"Mattli, Walter; Woods, Ngaire",,MF,,1,1,0,0,Book,Background,2009,Princeton University Press,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,1,1,0,1,0,FALSE,0,1,0,1,0
4528,Review of International Political Economy,"Helleiner, Eric",,M,,1,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4529,China Economic Review,"Dobson, Wendy; Masson, Paul R.",,FM,,1,1,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,0,1
4530,Journal of Development Economics,"Przeworskia, Adam; Vreeland,  James Raymond",,MM,,2,0,0,0,Article,Background,2000,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4531,American Economic Review,"Diamond, Douglas W.; Rajan, Raghuram G.",,MM,,2,0,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4532,Review of International Studies,"Best, Jacqueline",,F,,0,1,0,0,Article,Background,2004,Cambridge University Press,M,Professor,IPE,Undergrad,1,1,1,1,0,1,0,1,0,0,0,0,FALSE,0,0,0,0,1
4533,International Organization,"Stone, Randall W.",,M,,1,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4534,Review of International Political Economy,"Chwieroth, Jeffrey M.",,M,,1,0,0,0,Article,Background,2014,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4535,International Organization,"Caraway, Teri L.; Rickard, Stephanie J.; Anner, Mark S.",,FFM,,1,2,0,0,Article,Background,2012,,M,Professor,IPE,Undergrad,0.667,1,1,0,0,0,1,0,0,1,1,0,FALSE,0,1,0,0,1
4537,Capital account liberalization: theoretical and practical aspects,"Eichengreen, Barry J.; Mussa, Michael; Dell'Ariccia, Giovanni",,MMM,,3,0,0,0,Book,Background,1998,International Monetary Fund,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
4539,Financial Analysts Journal,"Fridson, Martin S.",,M,,1,0,0,0,Article,Background,2012,CFA Institute,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4540,"Debt, development, and democracy: modern political economy and Latin America, 1965-1985","Frieden, Jeffry A.",,M,,1,0,0,0,Book,Background,1991,Princeton University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4541,IMF Staff Papers,"Obstfeld, Maurice",,M,,1,0,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4542,Korean Journal of International Studies,"Broz, J. Lawrence",,M,,1,0,0,0,Article,Background,2015,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4543,Review of International Political Economy,"Grabel, Ilene; Gallagher, Kevin P.",,FM,,1,1,0,0,Article,Background,2015,,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,0,1
4544,American empire and the political economy of global finance,"Panitch, Leo; Konings, Martijn",,MM,,2,0,0,0,Book,Background,2008,Palgrave Macmillan,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
4545,Social construction and the logic of money: financial predominance and international economic leadership,"Barkin, J. Samuel",,M,,1,0,0,0,Book,Background,2003,State University of New York Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4546,New Political Economy,"Cohen, Benjamin J.",,M,,1,0,0,0,Article,Background,2012,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4547,The Review of International Organizations,"Steinwand, Martin C.; Stone, Randall W.",,MM,,2,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4548,The Journal of Politics,"Copelovitch, Mark S.",,M,,1,0,0,0,Article,Background,2008,University of Chicago Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4549,Currency and coercion: the political economy of international monetary power,"Kirshner, Jonathan",,M,,1,0,0,0,Book,Background,1995,Princeton University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4550,Review of International Studies,"Grieco, Joseph M.",,M,,1,0,0,0,Article,Background,1995,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4551,International Affairs,"Persaud, Avinash",,M,,1,0,0,0,Article,Background,2010,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4553,International political economy: perspectives on global power and wealth,"Haggard, Stephan","Frieden, Jeffry A.; Lake, David A.; Broz, J. Lawrence",M,MMM,1,0,3,0,Book,Background,2010,W.W. Norton,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4554,International Security,"Drezner, Daniel W.",,M,,1,0,0,0,Article,Background,2009,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4555,World Economy,"Claessens, Stijn; Underhill, Geoffrey R. D.; Zhang, Xiaoke",,MMM,,3,0,0,0,Article,Background,2008,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4556,European Journal of Political Research,"Cerny, Phillip G.",,M,,1,0,0,0,Article,Background,1989,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4557,World Politics,"Lohmann, Susanne ",,F,,0,1,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,1,1,1,1,0,1,1,0,0,0,0,0,FALSE,0,0,0,0,1
4558,Curbing bailouts: bank crises and democratic accountability in comparative perspective,"Rosas, Guillermo",,M,,1,0,0,0,Book,Background,2009,University of Michigan Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4560,Quarterly Journal of Economics,"Reinhart, Carmen M.; Rogoff, Kenneth S.",,MM,,2,0,0,0,Article,Background,2004,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4563,"Fool's gold: how unrestrained greed corrupted a dream, shattered global markets and unleashed a catastrophe","Tett, Gillian",,F,,0,1,0,0,Book,Background,2009,"Little, Brown",M,Professor,IPE,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,1,0
4564,World Economy,"Bird, Graham",,M,,1,0,0,0,Article,Background,2003,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4565,Brookings Papers on Economic Activity,"Diaz-Alejandro, Carlos F.; Krugman, Paul R.; Sachs, Jeffrey D.",,MMM,,3,0,0,0,Article,Background,1984,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4567,The Gold Standard in theory and history,"Eichengreen, Barry J.; Flandreau, Marc",,MM,,2,0,0,0,Book,Background,1997,Routledge,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,1,0,1,1,0
4568,Policy Briefs,"Veron, Nicolas; Wolff, Guntram B.",,MM,,2,0,0,0,Article,Background,2013,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4569,Contested social orders and international politics,"Broz, J. Lawrence","Skidmore, David",M,M,1,0,1,0,Book,Background,1997,Vanderbilt University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4570,International finance and the developing economies,"Bird, Graham",,M,,1,0,0,0,Book,Background,2004,Palgrave Macmillan,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4571,Journal of Economic Literature,"McKinnon, Ronald I.",,M,,1,0,0,0,Article,Background,1993,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4572,Capital ungoverned: liberalizing finance in interventionist states,"Loriaux, Michael Maurice",,M,,1,0,0,0,Book,Background,1997,Cornell University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4573,World Politics,"Hays, Jude C. ",,M,,1,0,0,0,Article,Background,2003,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,1,0,0,0,0,0,FALSE,0,0,1,0,1
4576,New Political Economy,"Green, Jeremy; Hay, Colin",,MM,,2,0,0,0,Article,Background,2015,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
4577,"Financial services, globalization and domestic policy change","Coleman, William D.",,M,,1,0,0,0,Book,Background,1996,Palgrave Macmillan,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4578,Too big to fail: inside the battle to save Wall Street,"Sorkin, Andrew Ross",,M,,1,0,0,0,Book,Background,2009,Allen Lane,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4579,Review of International Political Economy,"Cohen, Benjamin J.",,M,,1,0,0,0,Article,Background,2012,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4581,International Relations of the Asia-Pacific,"Rapkin, David P.",,M,,1,0,0,0,Article,Background,2003,Oxford University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,0,1
4582,International Organization,"Dreher, Axel; Gassebner, Martin",,MM,,2,0,0,0,Article,Background,2012,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
4584,Cambridge Journal of Economics,"Grabel, Ilene",,F,,0,1,0,0,Article,Background,2000,,M,Professor,IPE,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
4585,Banking on Basel: the future of international financial regulation,"Tarullo, Daniel K.",,M,,1,0,0,0,Book,Background,2008,Institute for International Economics,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4586,Fixing Global Finance,"Wolf, Martin",,M,,1,0,0,0,Book,Background,2008,Johns Hopkins University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4587,Journal of Globalization and Development,"Helleiner, Eric",,M,,1,0,0,0,Article,Background,2012,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4588,"Monetary orders: ambiguous economics, ubiquitous politics","Kirshner, Jonathan",,M,,1,0,0,0,Book,Background,2003,Cornell University Press,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
4589,Financial stability report,"Haldane, Andrew; Taylor, Ashley",,MF,,1,1,0,0,Article,Background,1996,The Bank,M,Professor,IPE,Undergrad,0.5,1,1,0,0,0,0,0,1,0,1,0,FALSE,0,1,0,0,1
4590,International Organization,"Oatley, Thomas; Nabors, Robert",,MM,,2,0,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,1,0,0,0,0,0,FALSE,1,0,1,0,1
4591,World Development,"Wade, Robert",,M,,1,0,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
4592,Review of International Political Economy,"Norrlof, Carla",,F,,0,1,0,0,Article,Background,2014,,M,Professor,IPE,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
4594,Economic Policy,"Flandreau, Marc; Le Cacheux, Jacques; Zumer, Frederic; Dornbusch, Rudi; Honohan, Patrick",,MMMMM,,5,0,0,0,Article,Background,1998,,M,Professor,IPE,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,0,1
